"cell.type","term","parameter","setSize","enrichmentScore","NES","P.Value","p.adjust","qvalues","rank","leading_edge","core_enrichment","ont","adj.P.Val"
"CD8_CM","D1.v.baseline.covid.Male","INTERFERON_GAMMA_RESPONSE",129,0.775575143541735,2.82885403643694,0.000178062678062678,0.00548084008843036,0.00431485862777799,722,"tags=48%, list=9%, signal=44%","PSME2/PSME1/IRF1/B2M/STAT1/GBP4/XAF1/PSMB9/APOL6/BST2/PSMB8/LY6E/TAP1/IFITM2/PSMB10/HLA-B/IFIT2/RNF213/MVP/IFI44L/SAMD9L/NLRC5/MTHFD2/XCL1/SP110/CD74/IRF7/TAPBP/MT2A/CASP4/ISG15/TRAFD1/RSAD2/RBCK1/STAT2/PNP/LYSMD2/ADAR/OGFR/SAMHD1/IFIT3/HLA-DRB1/SLAMF7/PARP12/VAMP5/PSMA3/EIF4E3/HLA-DMA/MX2/PFKP/EIF2AK2/IRF2/PLSCR1/HLA-A/OAS2/CASP8/PIM1/PNPT1/CMPK2/LCP2/GZMA/ICAM1","Hallmark",0.00216470154753132
"CD8_CM","D1.v.baseline.covid.Male","ALLOGRAFT_REJECTION",115,0.583469507298346,2.09632930462111,0.00017940437746681,0.00548084008843036,0.00431485862777799,891,"tags=31%, list=11%, signal=28%","B2M/STAT1/GBP2/TAP1/IL12RB1/PSMB10/CD74/IRF7/TAPBP/HLA-E/PRF1/KLRD1/IL2RG/PTPRC/CCND2/HLA-DMA/CD3D/CD8A/UBE2D1/CXCR3/FASLG/HLA-A/HLA-DMB/EIF4G3/HLA-DOA/TLR1/ZAP70/CSK/LCP2/GZMA/HLA-DRA/ICAM1/CDKN2A/CTSS/CD47/CCR5","Hallmark",0.00216470154753132
"CD8_CM","D1.v.baseline.covid.Male","COMPLEMENT",101,0.527605667310729,1.85867849543268,0.000181488203266788,0.00548084008843036,0.00431485862777799,908,"tags=25%, list=11%, signal=22%","IRF1/PSMB9/PFN1/PRKCD/IRF7/ERAP2/CASP4/GCA/CALM3/PPP4C/PLEK/IRF2/MSRB1/PLSCR1/FDX1/PIM1/RAF1/LCP2/GZMA/USP15/CTSS/F5/PIK3CG/XPNPEP1/CTSC","Hallmark",0.00216470154753132
"CD8_CM","D1.v.baseline.covid.Male","INTERFERON_ALPHA_RESPONSE",63,0.844836685838499,2.74305760681204,0.000184229918938836,0.00548084008843036,0.00431485862777799,657,"tags=62%, list=8%, signal=57%","PSME2/PSME1/IRF1/B2M/GBP4/IFITM1/PSMB9/GBP2/PARP9/BST2/PSMB8/HLA-C/LY6E/TAP1/IFITM2/IFIT2/IFI44L/SAMD9L/NUB1/MOV10/SP110/CD74/IRF7/ISG15/TRAFD1/RSAD2/STAT2/ADAR/OGFR/IFIT3/PARP12/PSMA3/EIF2AK2/IRF2/PLSCR1/LPAR6/CASP8/PNPT1/CMPK2","Hallmark",0.00216470154753132
"CD8_CM","D1.v.baseline.covid.Male","UV_RESPONSE_UP",70,0.567764382567947,1.87691435687575,0.000555349870418364,0.0113463005339436,0.00893251435224216,1103,"tags=30%, list=14%, signal=26%","IRF1/TAP1/PRKCD/AP2S1/BAK1/MGAT1/MRPL23/HLA-F/DNAJA1/MARK2/GLS/SULT1A1/HSPA2/ALAS1/ICAM1/POLE3/CYB5R1/TUBA4A/GCH1/ATF3/STK25","Hallmark",0.00522028878193262
"CD8_CM","D1.v.baseline.covid.Male","MHC-TLR7-TLR8 cluster (M146)",13,0.837888252562885,1.95949542201909,0.000592417061611374,0.0113463005339436,0.00893251435224216,896,"tags=77%, list=11%, signal=68%","HLA-C/HLA-B/CD74/HLA-E/HLA-DPA1/HLA-DRB1/HLA-F/HLA-A/HLA-DRA/HLA-DPB1","BTM",0.0212933753943218
"CD8_CM","D1.v.baseline.covid.Male","IL6_JAK_STAT3_SIGNALING",43,0.618402712154781,1.87693165101401,0.000753437558862309,0.0113463005339436,0.00893251435224216,244,"tags=19%, list=3%, signal=18%","IRF1/STAT1/IL12RB1/IL9R/IL2RG/STAT2/MAP3K8/BAK1","Hallmark",0.00590192754442142
"CD8_CM","D1.v.baseline.covid.Male","enriched in NK cells (I) (M7.2)",34,0.648839386557693,1.88055590327051,0.0007627765064836,0.0113463005339436,0.00893251435224216,862,"tags=47%, list=11%, signal=42%","GZMM/EOMES/XCL1/TBX21/PRF1/KLRD1/GIMAP7/SLAMF7/GNLY/GPR56/FASLG/NKG7/ZAP70/GZMA/SH2D2A/CTSW","BTM",0.0212933753943218
"CD8_CM","D1.v.baseline.covid.Male","T cell differentiation (M14)",10,-0.835086838470692,-1.8836012774209,0.00101419878296146,0.0134099616858238,0.010557156922055,432,"tags=40%, list=5%, signal=38%","MAL/SPOCK2/TXK/TCF7","BTM",0.0212933753943218
"CD8_CM","D1.v.baseline.covid.Male","proteasome (M226)",10,0.846565559958448,1.86669750223862,0.00118296529968454,0.0140772870662461,0.0110825170180973,561,"tags=50%, list=7%, signal=47%","RAN/PSMA4/PSMD14/PSMA3/PSMA5","BTM",0.0212933753943218
"CD8_CM","D1.v.baseline.covid.Male","INFLAMMATORY_RESPONSE",78,0.51632555524995,1.7415765575988,0.00147167034584253,0.015920797377751,0.0125338431368407,1032,"tags=24%, list=13%, signal=21%","IRF1/IFITM1/BST2/LY6E/IRF7/TAPBP/SLAMF1/EIF2AK2/RGS1/RAF1/TLR1/LCP2/ICAM1/IL18R1/BEST1/EMP3/LDLR/KLF6/GCH1","Hallmark",0.00988121517922842
"CD8_CM","D1.v.baseline.covid.Male","viral sensing & immunity; IRF2 targets network (I) (M111.0)",10,0.83328865808217,1.83742161299605,0.00295741324921136,0.0278083246274812,0.0218924448637402,27,"tags=30%, list=0%, signal=30%","BST2/PSMB8/TAP1","BTM",0.0425867507886435
"CD8_CM","D1.v.baseline.covid.Male","MTORC1_SIGNALING",132,0.431940027795907,1.57856047355167,0.00303788420300214,0.0278083246274812,0.0218924448637402,1369,"tags=31%, list=17%, signal=26%","SLC9A3R1/CALR/MTHFD2/LDHA/PSMA4/RDH11/PSMD14/PSMB5/PNP/ACTR3/NUP205/PPIA/SERPINH1/SDF2L1/PSMA3/HPRT1/PRDX1/CORO1A/SRD5A1/MAP2K3/ENO1/TES/NFKBIB/TPI1/CTSC/ADD3/CCT6A/LDLR/TUBA4A/MCM2/ELOVL5/ETF1/COPS5/RPA1/SLC37A4/FKBP2/XBP1/GSK3B/HMGCS1/SYTL2/IMMT","Hallmark",0.0178475696926376
"CD8_CM","D1.v.baseline.covid.Male","T cell activation (III) (M7.4)",11,-0.760973304197453,-1.75918288933331,0.00422960725075529,0.0359516616314199,0.0283033868659564,817,"tags=45%, list=10%, signal=41%","KLF12/LEF1/ETS1/NELL2/CAMK4","BTM",0.0507552870090634
"CD8_CM","D1.v.baseline.covid.Male","T cell activation (II) (M7.3)",24,0.645725855383652,1.7364552567808,0.0077639751552795,0.0615942028985507,0.048490792197886,891,"tags=46%, list=11%, signal=41%","IL12RB1/SLAMF7/SLAMF1/CD3D/CXCR3/NKG7/ZAP70/GZMA/GPR171/IL18R1/CCR5","BTM",0.0798580301685892
"CD8_CM","D1.v.baseline.covid.Male","KRAS_SIGNALING_DN",37,0.55011811545543,1.62095363157042,0.0140497436871084,0.104494968672869,0.08226494658899,2006,"tags=43%, list=25%, signal=33%","IFI44L/RSAD2/GAMT/RYR1/STAG3/SLC16A7/SLC29A3/CLSTN3/CCR8/MTHFR/KRT1/PLAG1/KMT2D/IFNG/IDUA/YPEL1","Hallmark",0.0733708836993439
"CD8_CM","D1.v.baseline.covid.Male","regulation of antigen presentation and immune response (M5.0)",47,0.506211547492837,1.55511419969371,0.0205988937631127,0.135399829859634,0.106595177863843,1446,"tags=45%, list=18%, signal=37%","VASP/PTPRC/HLA-DPA1/HLA-DRB1/HLA-DMA/CD3D/PAK1/HLA-DMB/HLA-DOA/TLR1/ZAP70/CSK/LCP2/HLA-DRA/HLA-DPB1/THEMIS/TLR5/TRAT1/LILRB1/HLA-DQB1/PTPN6","BTM",0.171292624900872
"CD8_CM","D1.v.baseline.covid.Male","APICAL_JUNCTION",73,0.447729271922154,1.49527655886476,0.0218589272593681,0.135399829859634,0.106595177863843,722,"tags=19%, list=9%, signal=18%","ACTB/PFN1/CAP1/ARPC2/VASP/PTPRC/RAC2/PTEN/GAMT/ACTG1/YWHAH/MSN/VCL/ICAM1","Hallmark",0.0972313522292255
"CD8_CM","D1.v.baseline.covid.Male","enriched in antigen presentation (III) (M95.1)",12,0.720129139105723,1.65098443205666,0.0219064535227946,0.135399829859634,0.106595177863843,722,"tags=58%, list=9%, signal=53%","PTPRC/HLA-DRB1/HLA-DMA/PLEK/HLA-DMB/HLA-DRA/ICAM1","BTM",0.171292624900872
"CD8_CM","D1.v.baseline.covid.Male","SPERMATOGENESIS",39,-0.487741070000098,-1.51277401890423,0.0227562739259889,0.135399829859634,0.106595177863843,1115,"tags=23%, list=14%, signal=20%","TLE4/TOPBP1/COIL/STAM2/MLF1/GFI1/GSTM3/IDE/CAMK4","Hallmark",0.0972313522292255
